编号,算子名称,算子缺陷（链接）,数量,官方确认
#89382,torch.nn.SiLU,https://github.com/pytorch/pytorch/issues/89382,1,
#89393,torch.nn.Softsign,https://github.com/pytorch/pytorch/issues/89393,1,
#89345,torch.nn.AvgPool1d,https://github.com/pytorch/pytorch/issues/89345,1,
#89400,torch.triu,https://github.com/pytorch/pytorch/issues/89400,2,
,torch.tril,,,
#89345,torch.nn.AvgPool1d,https://github.com/pytorch/pytorch/issues/89345,1,
#89347,torch.nn.ConstantPad1d,https://github.com/pytorch/pytorch/issues/89347,1,
#89380,torch.nn.LPPool1d,https://github.com/pytorch/pytorch/issues/89380,1,
#89402,torch.sparse_coo_tensor,https://github.com/pytorch/pytorch/issues/89402,1,
#89412,torch.nn.functional.conv1,https://github.com/pytorch/pytorch/issues/89412,1,
#89478,torch.renorm,https://github.com/pytorch/pytorch/issues/89478,1,
#90062,torch.special.multigammaln,https://github.com/pytorch/pytorch/issues/90062,1,
#89282,torch.as_strided,https://github.com/pytorch/pytorch/issues/89282,1,
#89342,torch.mm,https://github.com/pytorch/pytorch/issues/89342,1,
#89343,torch.nn.AdaptiveAvgPool1d,https://github.com/pytorch/pytorch/issues/89343,1,
#89344,torch.nn.AdaptiveAvgPool1d,https://github.com/pytorch/pytorch/issues/89344,1,
#89362,torch.nn.functional.embedding_bag,https://github.com/pytorch/pytorch/issues/89362,1,
#89364,torch.nn.functional.linear,https://github.com/pytorch/pytorch/issues/89364,1,
#89369,torch.nn.functional.nll_loss,https://github.com/pytorch/pytorch/issues/89369,1,
#89370,torch.nn.functional.normalize,https://github.com/pytorch/pytorch/issues/89370,1,
#89372,torch.nn.Hardshrink,https://github.com/pytorch/pytorch/issues/89372,7,
,torch.prod,,,
,torch.repeat_interleave,,,
,torch.std,,,
,torch.var,,,
,torch.atan,,,
,torch.erfinv,,,
#89381,torch.nn.ReplicationPad1d,https://github.com/pytorch/pytorch/issues/89381,2,
,torch.nn.ZeroPad2d,,,
#89394,torch.nn.TransformerEncoderLayer,https://github.com/pytorch/pytorch/issues/89394,1,
#89408,torch.nn.MultiLabelMarginLoss,https://github.com/pytorch/pytorch/issues/89408,1,
#89409,torch.nn.functional.max_unpool1d,https://github.com/pytorch/pytorch/issues/89409,1,
#89415,torch.masked_select,https://github.com/pytorch/pytorch/issues/89415,1,
#89418,torch.floor_divide,https://github.com/pytorch/pytorch/issues/89418,1,
#89419,torch.equal,https://github.com/pytorch/pytorch/issues/89419,1,
#89420,torch.baddbmm,https://github.com/pytorch/pytorch/issues/89420,1,
#89482,torch.split,https://github.com/pytorch/pytorch/issues/89482,1,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
编号,算子名称,官方文档缺陷（链接）,数量,
#89348,torch.where,https://github.com/pytorch/pytorch/issues/89348,1,
#89361,torch.nn.functional.embedding,https://github.com/pytorch/pytorch/issues/89361,1,
#89733,torch.complex,https://github.com/pytorch/pytorch/issues/89733,1,
