编号,接口名称,缺陷详情链接,数量,官方确认
#58702,"tf.image.rot90
、tf.image.stateless_random_flip_up_down",https://github.com/tensorflow/tensorflow/issues/58702,2,是
#58711,tf.keras.layers.BatchNormalization,https://github.com/tensorflow/tensorflow/issues/58711,1,是
#58712,"tf.keras.layers.Layer
、tf.nn.embedding_lookup
、tf.keras.layers.Convolution1DTranspose",https://github.com/tensorflow/tensorflow/issues/58712,3,是
#58737,"tf.keras.metrics.Mean
、tf.metrics.Mean
、tf.losses.mean_absolute_error
、tf.losses.mean_absolute_percentage_error
、tf.keras.losses.mean_absolute_error
、tf.keras.losses.mean_absolute_percentage_error",https://github.com/tensorflow/tensorflow/issues/58737,6,是
#58703,"tf.image.stateless_random_hue
、tf.image.stateless_random_brightness",https://github.com/tensorflow/tensorflow/issues/58703,2,是
#58697,"tf.gather
、tf.gather_nd",https://github.com/tensorflow/tensorflow/issues/58697,2,是
#58700,"tf.image.random_flip_left_right、
tf.image.random_flip_up_down、
tf.image.stateless_random_flip_left_right、
tf.image.stateless_random_flip_up_down",https://github.com/tensorflow/tensorflow/issues/58700,4,是
#58739,"tf.math.rsqrt
、tf.math.acos
、tf.math.ceil
、tf.math.cumsum
、tf.math.log_sigmoid
、tf.math.round
、tf.math.sigmoid
、tf.math.special.bessel_j0
、tf.math.special.bessel_j1
、tf.math.special.bessel_k0
、tf.math.special.bessel_k0e
、tf.math.special.bessel_k1
、tf.math.special.bessel_k1e
、tf.math.special.bessel_y0
、tf.math.special.bessel_y1
、tf.math.special.expint
、tf.math.special.fresnel_sin
、tf.math.special.spence
、tf.math.xlog1py
、tf.math.abs",https://github.com/tensorflow/tensorflow/issues/58739,20,是
#58695,tf.clip_by_norm,https://github.com/tensorflow/tensorflow/issues/58695,1,是
#58696,"tf.math.cumsum
、tf.math.reduce_mean
、tf.math.reduce_std",https://github.com/tensorflow/tensorflow/issues/58696,>3(这是一个系列，这里只列出3个),是
,,缺陷总数,44,
